Symbol,Name
AKBNK.IS,Akbank T.A.S.
ARCLK.IS,Arçelik Anonim Sirketi 
ASELS.IS,Aselsan Elektronik Sanayi ve Ticaret Anonim Sirketi 
BIMAS.IS,BIM Birlesik Magazalar A.S. 
EKGYO.IS,EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş. 
EREGL.IS,EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş. 
FROTO.IS,FORD OTOMOTİV SANAYİ A.Ş. 
GUBRF.IS,GÜBRE FABRİKALARI T.A.Ş. 
SAHOL.IS,HACI ÖMER SABANCI HOLDİNG A.Ş. 
HEKTS.IS,HEKTAŞ TİCARET T.A.Ş. 
KRDMD.IS,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş. 
KCHOL.IS,KOÇ HOLDİNG A.Ş. 
KOZAL.IS,KOZA ALTIN İŞLETMELERİ A.Ş. 
KOZAA.IS,KOZA ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş. 
PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş. 
PETKM.IS,PETKİM PETROKİMYA HOLDİNG A.Ş. 
SASA.IS,SASA POLYESTER SANAYİ A.Ş. 
TAVHL.IS,TAV HAVALİMANLARI HOLDİNG A.Ş. 
TKFEN.IS,TEKFEN HOLDİNG A.Ş. 
TOASO.IS,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş. 
TCELL.IS,TURKCELL İLETİŞİM HİZMETLERİ A.Ş. 
TUPRS.IS,TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş. 
THYAO.IS,TÜRK HAVA YOLLARI A.O. 
TTKOM.IS,TÜRK TELEKOMÜNİKASYON A.Ş. 
GARAN.IS,TÜRKİYE GARANTİ BANKASI A.Ş. 
HALKB.IS,TÜRKİYE HALK BANKASI A.Ş. 
ISCTR.IS,TÜRKİYE İŞ BANKASI A.Ş. 
SISE.IS,TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş. 
VESTL.IS,VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş. 
YKBNK.IS,YAPI VE KREDİ BANKASI A.Ş. 

